is_alt_satisfied,is_size_satisfied,is_dimension_satisfied,is_satisfied
0,0,0,0
1,1,1,1
0,1,1,0
1,1,1,1
1,1,0,0
1,1,0,0
0,1,1,0
1,1,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,1,0,0
1,0,1,0
1,0,0,0
0,1,1,0
0,1,0,0
1,0,1,0
0,1,1,0
1,0,1,0
0,0,1,0
0,1,1,0
0,0,0,0
1,1,0,0
1,1,0,0
0,0,0,0
1,1,0,0
0,0,0,0
0,0,1,0
1,1,1,1
0,0,1,0
1,0,0,0
1,1,1,1
1,0,1,0
0,0,1,0
1,0,1,0
0,0,1,0
0,1,1,0
0,1,0,0
0,0,0,0
0,0,1,0
0,0,0,0
0,0,0,0
0,1,1,0
0,1,0,0
0,1,0,0
0,1,0,0
0,0,0,0
0,1,1,0
0,1,0,0
0,0,0,0
1,0,1,0
0,1,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
0,1,1,0
0,1,0,0
1,1,1,1
0,0,0,0
1,1,1,1
1,0,0,0
1,1,1,1
0,0,0,0
0,1,1,0
0,0,1,0
1,0,1,0
0,1,1,0
1,1,0,0
0,1,0,0
1,0,0,0
0,1,1,0
1,1,1,1
1,1,1,1
1,1,1,1
0,1,0,0
1,0,1,0
0,1,1,0
0,0,1,0
0,0,0,0
0,1,0,0
1,0,0,0
0,0,0,0
0,0,0,0
1,0,1,0
0,1,0,0
0,1,1,0
0,1,0,0
0,0,1,0
1,1,1,1
1,0,1,0
0,1,1,0
0,1,1,0
1,0,1,0
1,0,1,0
1,1,0,0
1,0,0,0
1,0,1,0
1,1,1,1
0,0,1,0
