description_length,is_satisfied
359,False
372,False
104,False
125,False
146,False
128,False
341,False
223,True
253,True
202,True
167,True
292,True
203,True
110,False
304,False
329,False
228,True
135,False
281,True
136,False
252,True
290,True
383,False
218,True
349,False
251,True
388,False
274,True
136,False
358,False
105,False
157,True
177,True
199,True
185,True
345,False
303,False
396,False
205,True
383,False
130,False
216,True
372,False
319,False
327,False
114,False
357,False
352,False
308,False
182,True
208,True
241,True
334,False
123,False
362,False
315,False
147,False
339,False
246,True
183,True
112,False
165,True
381,False
369,False
366,False
309,False
358,False
127,False
207,True
211,True
136,False
197,True
241,True
185,True
352,False
205,True
203,True
194,True
104,False
230,True
395,False
143,False
300,True
308,False
110,False
218,True
352,False
119,False
379,False
252,True
143,False
305,False
258,True
184,True
396,False
266,True
177,True
207,True
324,False
161,True
155,True
155,True
155,True
155,True
155,True
155,True
